Temple,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,State,Postal Code,Country,Phone,https://churchofjesuschristtemples.org/maps/downloads/
Albuquerque New Mexico Temple,35.167684,-106.525301,"35°10'3""N","106°31'31""W",10301 San Francisco Drive NE,Albuquerque,New Mexico,87122-3437,United States,(+1) 505-822-5110,
Anchorage Alaska Temple,61.101627,-149.840512,"61°6'5""N","149°50'25""W",13161 Brayton Drive,Anchorage,Alaska,99516,United States,(+1) 907-348-7890,
Atlanta Georgia Temple,33.931896,-84.362394,"33°55'54""N","84°21'44""W",6450 Barfield Road NE,Sandy Springs,Georgia,30328-4283,United States,(+1) 770-393-3698,
Baton Rouge Louisiana Temple,30.362664,-91.108385,"30°21'45""N","91°6'30""W",10339 Highland Road,Baton Rouge,Louisiana,70810,United States,(+1) 225-769-1197,
Bentonville Arkansas Temple,36.384867,-94.181319,"36°23'5""N","94°10'52""W",1101 McCollum Drive,Bentonville,Arkansas,,United States,,
Billings Montana Temple,45.800505,-108.63939,"45°48'1""N","108°38'21""W",3100 Rim Point Drive,Billings,Montana,59106-1386,United States,(+1) 406-655-0607,
Birmingham Alabama Temple,33.674623,-86.821236,"33°40'28""N","86°49'16""W",1927 Mount Olive Boulevard,Gardendale,Alabama,35071,United States,(+1) 205-631-3444,
Bismarck North Dakota Temple,46.838889,-100.813979,"46°50'20""N","100°48'50""W",2930 Cody Drive,Bismarck,North Dakota,58503,United States,(+1) 701-258-9590,
Boise Idaho Temple,43.593523,-116.275034,"43°35'36""N","116°16'30""W",1211 South Cole Road,Boise,Idaho,83709-1871,United States,(+1) 208-322-4422,
Boston Massachusetts Temple,42.412002,-71.188091,"42°24'43""N","71°11'17""W",100 Hinckley Way (formerly 86 Frontage Road),Belmont,Massachusetts,02478-2135,United States,(+1) 617-993-9993,
Bountiful Utah Temple,40.882853,-111.846812,"40°52'58""N","111°50'48""W",640 South Bountiful Boulevard,Bountiful,Utah,84010-1394,United States,(+1) 801-296-2100,
Brigham City Utah Temple,41.505376,-112.016592,"41°30'19""N","112°0'59""W",250 South Main Street,Brigham City,Utah,84302-2120,United States,(+1) 435-695-2170,
Cedar City Utah Temple,37.671734,-113.096271,"37°40'18""N","113°5'46""W",280 S Cove Dr,Cedar City,Utah,84720,United States,(+1) 435-572-4150,
Chicago Illinois Temple,42.086829,-87.859501,"42°5'12""N","87°51'34""W",4151 West Lake Avenue,Glenview,Illinois,60025-1240,United States,(+1) 847-299-6500,
Columbia River Washington Temple,46.226733,-119.274893,"46°13'36""N","119°16'29""W",969 Gage Boulevard,Richland,Washington,99352,United States,(+1) 509-628-0990,
Columbia South Carolina Temple,33.959638,-80.893981,"33°57'34""N","80°53'38""W",2905 Trotter Road,Hopkins,South Carolina,29061-9573,United States,(+1) 803-647-9472,
Columbus Ohio Temple,39.994089,-83.113214,"39°59'38""N","83°6'47""W",3870 Gateway Boulevard,Columbus,Ohio,43228,United States,(+1) 614-351-5001,
Dallas Texas Temple,32.914288,-96.796525,"32°54'51""N","96°47'47""W",6363 Willow Lane,Dallas,Texas,75230-2227,United States,(+1) 972-991-1273,
Denver Colorado Temple,39.568698,-104.965782,"39°34'7""N","104°57'56""W",2001 East Phillips Circle,Centennial,Colorado,80122,United States,(+1) 303-730-0220,
Deseret Peak Utah Temple,40.570243,-112.31522,"40°34'12""N","112°18'54""W",West of 2400 North 400 West,Tooele,Utah,84074,United States,,
Detroit Michigan Temple,42.566266,-83.229983,"42°33'58""N","83°13'47""W",37425 Woodward Avenue,Bloomfield Hills,Michigan,48304,United States,(+1) 248-593-0690,
Draper Utah Temple,40.495893,-111.840748,"40°29'45""N","111°50'26""W",14065 Canyon Vista Lane,Draper,Utah,84020-5626,United States,(+1) 801-576-4240,
Feather River California Temple,39.146344,-121.639963,"39°8'46""N","121°38'23""W",1470 Butte House Road,Yuba City,California,95993,United States,,
Fort Collins Colorado Temple,40.494269,-105.038685,"40°29'39""N","105°2'19""W",2180 Majestic Drive,Fort Collins,Colorado,,United States,(+1) 970-797-4630,
Fort Lauderdale Florida Temple,26.070899,-80.355727,"26°4'15""N","80°21'20""W",3901 SW 154th Avenue,Davie,Florida,33331,United States,(+1) 954-382-8390,
Fresno California Temple,36.828257,-119.852911,"36°49'41""N","119°51'10""W",6290 North Valentine Avenue,Fresno,California,93711,United States,(+1) 559-437-9451,
Gilbert Arizona Temple,33.291378,-111.737365,"33°17'28""N","111°44'14""W",3301 S Greenfield Rd,Gilbert,Arizona,85297,United States,(+1) 480-822-5000,
Hartford Connecticut Temple,41.737552,-72.844666,"41°44'15""N","72°50'40""W",2 Central Way,Farmington,Connecticut,6032,United States,(+1) 860-773-7200,
Houston Texas Temple,29.999729,-95.533038,"29°59'59""N","95°31'58""W",15725 Champion Forest Drive,Spring,Texas,77379-7036,United States,(+1) 281-376-6804,
Idaho Falls Idaho Temple,43.499819,-112.0415,"43°29'59""N","112°2'29""W",1000 Memorial Drive,Idaho Falls,Idaho,83402-3497,United States,(+1) 208-522-7669,
Indianapolis Indiana Temple,39.955588,-86.165741,"39°57'20""N","86°9'56""W",11565 Temple Dr,Carmel,Indiana,,United States,(+1) 317-993-3800,
Jordan River Utah Temple,40.566354,-111.931417,"40°33'58""N","111°55'53""W",10200 South 1300 West,South Jordan,Utah,84095-8814,United States,(+1) 801-254-3003,
Kansas City Missouri Temple,39.220473,-94.501331,"39°13'13""N","94°30'4""W",7001 Searcy Creek Parkway,Kansas City,Missouri,,United States,(+1) 816-413-1430,
Las Vegas Nevada Temple,36.174597,-115.020052,"36°10'28""N","115°1'12""W",827 Temple View Drive,Las Vegas,Nevada,89110-2920,United States,(+1) 702-452-5011,
Layton Utah Temple,41.061699,-111.938379,"41°3'42""N","111°56'18""W",1400 East Oakhills Drive (approximate),Layton,Utah,84040,United States,,
Lindon Utah Temple,40.33717851,-111.695189,"40°20'13""N","111°41'42""W",Near 800 East and Center Street,Lindon,Utah,,United States,,
Logan Utah Temple,41.734161,-111.827943,"41°44'2""N","111°49'40""W",175 North 300 East,Logan,Utah,84321-4720,United States,(+1) 435-752-3611,
Los Angeles California Temple,34.052801,-118.433909,"34°3'10""N","118°26'2""W",10777 Santa Monica Boulevard,Los Angeles,California,90025-4718,United States,(+1) 310-474-5569,
Louisville Kentucky Temple,38.32112,-85.488843,"38°19'16""N","85°29'19""W",7116 West Highway 22,Crestwood,Kentucky,40014,United States,(+1) 502-241-4115,
Lubbock Texas Temple,33.528961,-101.941413,"33°31'44""N","101°56'29""W",7016 Frankford Avenue,Lubbock,Texas,79424,United States,(+1) 806-794-0774,
Manhattan New York Temple,40.773112,-73.981622,"40°46'23""N","73°58'53""W",125 Columbus Avenue,New York,New York,10023-6514,United States,(+1) 917-441-8220,
Manti Utah Temple,39.272906,-111.63376,"39°16'22""N","111°38'1""W",Temple Hill,Manti,Utah,84642,United States,(+1) 435-835-2291,
McAllen Texas Temple,26.268118,-98.211125,"26°16'5""N","98°12'40""W",300 West Trenton Road,McAllen,Texas,,United States,,
Medford Oregon Temple,42.373324,-122.932746,"42°22'23""N","122°55'57""W",3900 Grant Road,Central Point,Oregon,97502,United States,(+1) 541-664-2050,
Memphis Tennessee Temple,35.240752,-89.839334,"35°14'26""N","89°50'21""W",4199 Kirby-Whitten Parkway,Bartlett,Tennessee,38135,United States,(+1) 901-379-0202,
Meridian Idaho Temple,43.671022,-116.415115,"43°40'15""N","116°24'54""W",7355 North Linder Road,Meridian,Idaho,,United States,(+1) 208-957-7300,
Mesa Arizona Temple,33.412876,-111.819571,"33°24'46""N","111°49'10""W",101 South LeSueur,Mesa,Arizona,85204-1031,United States,(+1) 480-833-1211,
Monticello Utah Temple,37.877917,-109.347066,"37°52'40""N","109°20'49""W",365 North 200 West,Monticello,Utah,84535,United States,(+1) 435-587-3500,
Moses Lake Washington Temple,47.103441,-119.272362,"47°6'12""N","119°16'20""W",,Moses Lake,Washington,,United States,,
Mount Timpanogos Utah Temple,40.393166,-111.770509,"40°23'35""N","111°46'13""W",742 North 900 East,American Fork,Utah,84003-9124,United States,(+1) 801-763-4540,
Nashville Tennessee Temple,35.948839,-86.860329,"35°56'55""N","86°51'37""W",1100 Gray Fox Lane,Franklin,Tennessee,37069,United States,(+1) 615-791-8668,
Nauvoo Illinois Temple,40.55048,-91.384378,"40°33'1""N","91°23'3""W",50 North Wells Street,Nauvoo,Illinois,62354,United States,(+1) 217-453-6252,
Newport Beach California Temple,33.629627,-117.848766,"33°37'46""N","117°50'55""W",2300 Bonita Canyon Drive,Newport Beach,California,92660-9118,United States,(+1) 949-644-1820,
Oakland California Temple,37.808027,-122.19912,"37°48'28""N","122°11'56""W",4770 Lincoln Avenue,Oakland,California,94602-2535,United States,(+1) 510-531-3200,
